delta_coasting_time_while_not_on_cruise_control,OBD_VALUE_SPEED_KM_PER_HOUR,
delta_cruise_control,OBD_VALUE_ACCEL_PEDAL_DECIPERCENT,
delta_cruise_control,OBD_VALUE_CRUISE_CONTROL_ACTIVE,
delta_cruise_control,OBD_VALUE_SPEED_KM_PER_HOUR,
delta_ev_charging_energy,OBD_VALUE_EV_CHARGER_HV_MICRO_WATT,
delta_ev_charging_energy,OBD_VALUE_EV_CHARGE_IN_PROGRESS,
delta_ev_charging_energy,OBD_VALUE_EV_BATTERY_MILLI_VOLTS,
delta_ev_charging_energy,OBD_VALUE_EV_BATTERY_MILLI_AMPS,
delta_ev_distance_driven_on_electric_power,OBD_VALUE_EV_DISTANCE_DRIVEN_ON_ELECTRIC_POWER_THIS_TRIP_METERS,
delta_ev_energy_consumed,OBD_VALUE_EV_BATTERY_CONSUMED_THIS_TRIP_MICRO_WH,
delta_ev_energy_consumed,OBD_VALUE_EV_BATTERY_MILLI_VOLTS,
delta_ev_energy_consumed,OBD_VALUE_EV_BATTERY_MILLI_AMPS,
delta_ev_total_energy_regenerated_while_driving,OBD_VALUE_EV_BATTERY_REGEN_THIS_TRIP_MICRO_WH,
delta_ev_total_energy_regenerated_while_driving,OBD_VALUE_EV_BATTERY_MILLI_VOLTS,
delta_ev_total_energy_regenerated_while_driving,OBD_VALUE_EV_BATTERY_MILLI_AMPS,
delta_fuel_consumed,OBD_VALUE_FUEL_CONSUMED_ML,
delta_fuel_consumed,OBD_VALUE_FUEL_RATE_ML_PER_HOUR,
delta_fuel_consumed,OBD_VALUE_FUEL_RATE_GRAMS_PER_SECOND,
delta_fuel_consumed,OBD_VALUE_FUEL_RATE_MAF_GRAMS_PER_SECOND,
delta_gps_distance,,We don't promote
delta_rpm_green_band,OBD_VALUE_ENGINE_RPM,
derived_engine_seconds_from_ignition_cycle,OBD_VALUE_ENGINE_RUNTIME_SINCE_IGNITION_SECONDS,
diagnostic_fault_count,,We don't promote
direction_indicator,OBD_VALUE_DIRECTION_INDICATOR,
door_open_status,OBD_VALUE_DOOR_OPEN_STATUS,
dpf_lamp_status,OBD_VALUE_DPF_LAMP_STATUS,
engine_load_percent,OBD_VALUE_ENGINE_LOAD_PERCENT,
engine_milli_knots,OBD_VALUE_SPEED_KM_PER_HOUR,
engine_rpm,OBD_VALUE_ENGINE_RPM,
engine_seconds,OBD_VALUE_TOTAL_ENGINE_RUNTIME_SECONDS,
engine_state,OBD_VALUE_ENGINE_STATE,
engine_state,OBD_VALUE_SPEED_KM_PER_HOUR,
engine_state,OBD_VALUE_ENGINE_RUNTIME_SINCE_IGNITION_SECONDS,
engine_state,OBD_VALUE_ENGINE_RPM,
engine_state,OBD_VALUE_PROPULSION_SYSTEM_ACTIVE,
ev_average_cell_temperature,OBD_VALUE_EV_BATTERY_AVERAGE_CELL_TEMPERATURE_MILLI_CELCIUS,
ev_charger_milli_amp,OBD_VALUE_EV_CHARGER_HV_CURRENT_MILLI_AMP,
ev_charger_milli_volt,OBD_VALUE_EV_CHARGER_HV_MILLI_VOLT,
ev_charging_status,OBD_VALUE_EV_CHARGE_IN_PROGRESS,
ev_high_capacity_battery_milli_amp,OBD_VALUE_EV_BATTERY_MILLI_AMPS,
ev_high_capacity_battery_milli_volt,OBD_VALUE_EV_BATTERY_MILLI_VOLTS,
ev_high_capacity_battery_state_of_health,OBD_VALUE_EV_BATTERY_SOH_MILLI_PERCENT,
ev_usable_state_of_charge_milli_percent,OBD_VALUE_EV_STATE_OF_CHARGE_USABLE_MILLIPERCENT,
fuel_level_2_deci_percent,OBD_VALUE_FUEL_LEVEL_2_DECIPERCENT,
fuel_level_percent,OBD_VALUE_FUEL_LEVEL_MILLIPERCENT,
fuel_level_percent,OBD_VALUE_FUEL_REMAINING_ML,
fuel_type,OBD_VALUE_FUEL_TYPE_ENUM,
gaseous_fuel_consumption,OBD_VALUE_GASEOUS_FUEL_CONSUMED_STANDARD_CUBIC_METERS,
j1939_cvw_gross_combination_vehicle_weight,OBD_VALUE_CONFIG_VEHICLE_WEIGHT_KILOGRAMS,
j1939_oel_turn_signal_switch_state,OBD_VALUE_OEL_TURN_SIGNAL_SWITCH,
left_turn_signal,OBD_VALUE_LEFT_TURN_SIGNAL_COMMAND,
obd_cable_id,,We don't promote
odometer,OBD_VALUE_ODOMETER_HIGH_RES_METERS,
odometer,OBD_VALUE_ODOMETER_LOW_RES_METERS,
oil_pressure_k_pa,OBD_VALUE_ENGINE_OIL_PRESSURE_KPA,
power_take_off,OBD_VALUE_PTO_STATE,
reverse_direction,OBD_VALUE_TRANSMISSION_REVERSE_DIRECTION_SWITCH,
right_turn_signal,OBD_VALUE_RIGHT_TURN_SIGNAL_COMMAND,
seat_belt_driver,OBD_VALUE_SEATBELT_STATE,
steering_wheel_angle,OBD_VALUE_STEERING_WHEEL_ANGLE_PICORAD,
tell_tale_status,,We don't promote
tire_pressure_back_left_k_pa,OBD_VALUE_TIRE_PRESSURE_BACK_LEFT_KPA,
tire_pressure_back_right_k_pa,OBD_VALUE_TIRE_PRESSURE_BACK_RIGHT_KPA,
tire_pressure_front_left_k_pa,OBD_VALUE_TIRE_PRESSURE_FRONT_LEFT_KPA,
tire_pressure_front_right_k_pa,OBD_VALUE_TIRE_PRESSURE_FRONT_RIGHT_KPA,
unique_vin_count,OBD_VALUE_RAW_VIN,We don't promote
vehicle_current_gear,OBD_VALUE_GEAR_STATE,
yaw_rate,OBD_VALUE_YAW_RATE_FEMTORAD_PER_SECOND,
